Model,Accuracy,Balanced Accuracy,Macro F1,Weighted F1,Macro F1 Rank,Balanced Accuracy Rank,Accuracy Rank
Gradient Boosting,0.903339755940912,0.8931416220407167,0.8930306637219895,0.9029520267937987,1,1,1
Random Forest,0.8956326268464997,0.8845427653140858,0.8848580437360324,0.8952538368641886,2,2,2
Logistic Regression,0.8580603725112396,0.8432419109973445,0.8418091057474137,0.8565990669044098,3,3,3
Decision Tree,0.8452151573538856,0.8311678589584047,0.8308013528086666,0.8456445626719233,4,4,4
Dummy Classifier,0.19492614001284522,0.14285714285714285,0.046608054670403506,0.06359589733286593,5,5,5
