Model,Accuracy,Balanced Accuracy,Macro F1,Weighted F1,Training Macro F1,Macro F1 Gap
Gradient Boosting,0.903339755940912,0.8931416220407167,0.8930306637219895,0.9029520267937987,0.9126245192267655,0.019593855504775992
Random Forest,0.8956326268464997,0.8845427653140858,0.8848580437360324,0.8952538368641886,1.0,0.11514195626396762
