Gender,Support,Accuracy,Balanced_Accuracy,Macro_F1,Weighted_F1
Female,1573,0.9109980928162746,0.7468582700816739,0.7449438134955323,0.9103524306356754
Male,1541,0.9039584685269305,0.8905432383900855,0.763547675167091,0.9037870489105869
