Model,Configuration,Accuracy,Balanced Accuracy,Macro F1,Weighted F1,Candidate,Overall Rank
Gradient Boosting,Tuned,0.9075144508670521,0.8978937333049685,0.8977760050085329,0.9070992449361578,Tuned Gradient Boosting,1
Random Forest,Tuned,0.9059087989723827,0.8967177652625429,0.8966909775993644,0.9056106908363951,Tuned Random Forest,2
Gradient Boosting,Baseline,0.903339755940912,0.8931416220407167,0.8930306637219895,0.9029520267937988,Baseline Gradient Boosting,3
Random Forest,Baseline,0.8956326268464997,0.8845427653140858,0.8848580437360324,0.8952538368641886,Baseline Random Forest,4
